ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2841,Ашёҳои хурдро ҷамъ мекунад.,"<p>Ашёи хурдро ҷамъ мекунад. Кӯдак ашёҳои хурдро бо ангуштони калон ва ишоратӣ ҷамъ менамояд. Ӯ то ҳоло барои нигоҳ доштани ашё на танҳо нӯги чилик, балки тамоми сатҳи ангуштро истифода мебарад.</p>",,,,,tj-tg,published
2846,Целенаправленно использует игрушки в игБозичаҳоро дар бозӣ мақсаднок истифода мебарад.рах,"<p>Бо бозичаҳо бозӣ карда метавонад, медонад, барои чи онҳо лозиманд ва онҳоро дар бозӣ чӣ гуна истифода бурдан мумкин аст.</p>",,6656,6656,,tj-tg,published
2851,Мустақилона ва бе дастгирӣ нишаста метавонад.,<p>Мустақилона ва бе дастгирӣ нишаста метавонад.  Мустақилона ҳолати нишастро мегирад. Бе дастгирӣ ва кӯмаки иловагӣ шишта метавонад.</p>,,6466,6466,,tj-tg,published
2856,"Ба мавқеи гавак кашидан мебарояд, баъзе кӯдакон аллакай гавак мекашанд.","<p>Ба мавқеи  гавак кашидан мебарояд, баъзе кӯдакон аллакай гавак мекашанд. Кӯдак мустақилона гавак мекашад. Ӯ ба пеш ва ба ақиб  гавак мекашад.</p>",,6486,6486,,tj-tg,published
2861,Бозиҳои одии “нақшофарӣ” бозӣ мекунад,"<p>Масалан, лухтакро мехуронад, торт мехурад.</p>",,"6631, 3651, 4786","6631, 3651, 4786",,tj-tg,published
2866,"Худашро тела медиҳад, кӯшиш мекунад, ки бархезад.","<p>Худашро тела медиҳад, кӯшиш мекунад, ки бархезад. Кӯдак кӯшиш мекунад, ки мебелро қапида бархезад, лекин ба ӯ кӯмак ва дастгирӣ лозим аст.</p>",,"4531, 6471","4531, 6471",,tj-tg,published
2871,Дар муошират бо бегонагон шармгинӣ ва асабоният нишон медиҳад.,"<p>Кӯдак дар назди шахсони ношинос нисбат ба шахсони шинохташуда рафтори дигар дорад. Вай аз одамони ношинос шарм мекунад (аз тамос бо чашм худдорӣ мекунад, ба шахсони шинос мечаспад).</p>",,6526,6526,,tj-tg,published
2876,"Ҳангоми муошират бо кӯдак, ӯро шахсоне, ки ҳар рӯз дар наздаш нестанд, мефаҳманд.","<p>Ў овозро боз ҳам аниқтар талаффуз мекунад ва бештар калимаҳоро бо маънояш истифода мебарад, бинобар ин муошират боз ҳам осонтар мешавад.</p>",,,,,tj-tg,published
2881,Ҳайвонҳо ва овозҳои онҳоро медонад,<p>Овозро бо ҳайвон шабоҳат месозад.</p>,,6616,6616,,tj-tg,published
2886,"Ҳангоми аз волидон ҷудо шудан, гиря мекунад.",<p>Дарҳол пас аз ҷудо шудан аз волидон нишонаҳои нооромии шадидро нишон медиҳад.</p>,,,,,tj-tg,published
2891,Ҳангоми мушират бо одамон ӯ калимаҳо ва имову ишораҳоро истифода мебарад,"<p>Ҷумлаҳоро, ки аз 2-4 калима иборат аст талаффуз мекунад ва дар бораи худ ҳамчун шахси сеюм сухан меронад: “Лола мехоҳад”, “Ноза мешинад”.</p>",,6621,6621,,tj-tg,published
2896,Бозичаи дӯстдошта дорад,"<p>Бозичаи муайянеро дӯст медорад, онро мекобад, ҳамроҳи худ гирифта мегардад.</p>",,,,,tj-tg,published
2901,"Тадриҷан кӯшиш мекунад, ки якҷоя бо калонсолон шавқу рағбат, ҳузуру ҳаловат барад.","<p>Бозиҳои ҷавобиро дӯст медорад: “Ман ба ту медиҳам-ту ба ман медиҳӣ”, “Ман мекунам-ту мекунӣ” ва ғ.</p>",,6551,6551,,tj-tg,published
2906,"Номи худ, одамони шинос, номи ашёҳои гирду атрофи худ, амалҳои ҳарруза ва инчунин маънои калимаи “не”-ро мефаҳмад",<p>Ба даъвати ӯ бо ном ё калимаи “не” дуруст муносибат мекунад.</p>,,6546,6546,,tj-tg,published
2911,Ҳиҷоҳоро такрор мекунад ва баъзе кӯдакон алакай калимаҳоро бо маънияш талаффуз карда метавонанд,"<p>Овозҳои зиёди гуногунро талаффуз мекунад (мааа, бааа, дааад..) ва баъзеи онҳоро ҳамчун аввалин калимаҳои шинохта истифода мебарад ва маънои онро медонад (, дада, оча...)</p>",,6531,6531,,tj-tg,published
2916,Дастури кӯтоҳ ва ё фармоишро мефаҳмад,"<p>Вақте, ки Шумо ба ў мегуед, ки “тӯпро биёр” ё “ба модарат деҳ”, ӯ инро мефаҳмад.</p>",,6541,6541,,tj-tg,published
2921,Имову ишораро тақлид мекунад ва истифода мебарад,"<p>Ӯ метавонад барои саломнамои “да-да” гуяд ва сарашро ҳамчун маънои “не” ҷунбонад, ашёи дилхоҳро нишон диҳад.   </p>",,"3566, 6521","3566, 6521",,tj-tg,published
2926,Беш аз як дастури оддиро мефаҳмад ва ба анҷом мерасонад,"<p>Метавонад як ё якчанд дархости одӣ ва шифоҳии бо ҳамдигар алоқамандро иҷро намояд, масалан: “Болиштро биёр”, “Бинишин”, “Ба сатили партов парто”...</p>",,,,,tj-tg,published
2931,"Ба бозичаҳо кунҷкобона менигарад: онҳоро меларзонад, мезанад, мепартояд, ба ҷузъиёти он аҳамият медиҳад.","<p>Ба таври кӯфтан ва ба якдигар задани ашёҳо, онҳоро    месанҷад (пиёларо ба миз мезанад ё як бозичаро ба бозичаи дигар мезанад).</p>",,"3586, 6561","3586, 6561",,tj-tg,published
2941,Чизҳоро ба қуттӣ мегузорад ва аз он мегирад,<p>Қобилияти дурустар идора кардани ашёро дорад. Ӯ ҳатто метавонад ашёи хурдро ба қуттӣ ё шиша андозад ва берун барорад.</p>,,"4761, 6846","4761, 6846",,tj-tg,published
2946,Бо кӯдакони дигар паҳлӯ ба паҳлӯ бозӣ мекунад,"<p>Мустақилона дар назди дигар кӯдакон бозӣ мекунад,  на ҳамеша ба онҳо ҳамроҳ  мешавад, ба бозии онҳо дахолат намекунад, метавонад оҳиста-оҳиста онҳоро ба бозӣ ҷалб намояд, масалан бо пешниҳод намудани бозича.</p>",,"6636, 3601","6636, 3601",,tj-tg,published
2951,Мебелро қапида аз ҷояш мехезад ва дар назди он мегардад,"<p>Кӯдак метавонад бо дастгирӣ истад ва ҳатто як муддати муайян бе дастгирӣ  низ истад. Ӯ кӯшиш мекунад, ки бо қапидани мебел ё дасти калонсол ҳаракат кунад.</p>",,"3346, 6556","3346, 6556",,tj-tg,published
2956,Рафтори калонсолон ва кӯдакони аз вай калонтарро тақлид мекунад,"<p>Ба калонсолон тақлид мекунад ва он, чизе, ки дар рафтори онҳо мебинад, иҷро мекунад: масалан аробачаи кӯдаконаро тела медиҳад, рӯзнома мехонад...</p>",,"6641, 3566","6641, 3566",,tj-tg,published
2961,Ҳангоми либоспӯшӣ кӯмак мекунад,"<p>Вақте, ки шумо либосҳои ӯро мепӯшонед, ҳамкорӣ менамояд, дасташро ба остин меандозад, пояшро ба даруни шим медарорад.</p>",,,,,tj-tg,published
2966,Боз ҳам мустақилтар мешавад,"<p>Гоҳ вақт ба дархостҳо зиддият нишон медиҳад, ба ғазаб меояд, мехоҳад дигаронро назорат намояд, бо дигарон ҷанҷол мекунад, фармоиш медиҳад, ашёҳои худро муҳофизат мекунад.</p>",,4781,4781,,tj-tg,published
2971,Эҳсосоти худро баён карда метавонад,"<p>Эҳсосоти гуногунро метавонад баён кунад ва нишон диҳад: тарс, хашм, ҳамдардӣ, ҳисси гунаҳгорӣ, хурсандӣ.</p>",,"3656, 4731","3656, 4731",,tj-tg,published
2976,"Мустақилона меистад, ҳаракат мекунад ва роҳ мегардад","<p>Ӯ метавонад мустақилона ба ҳар тараф  ҳаракат кунад,  бо суръати гуногун  ва ё ҳаракатҳои гуногунро омехта кунад (меистад ва дасташро меафшонад).</p>",,"4841, 4771, 6591","4841, 4771, 6591",,tj-tg,published
2981,Дастурҳои оддиро мефаҳмад ва иҷро мекунад,"<p>Дастурҳои соддаро бидуни намоиш иҷро мекунад, метавонад он чизеро, ки аз ӯ интизор ҳастанд, иҷро кунад.</p>",,"6571, 4776","6571, 4776",7326,tj-tg,published
2986,Калимаҳоро бо маъно талаффуз мекунад.,"<p>Ба падару модар муроҷиат намуда, ҳадди ақал як ё якчанд калимаро талаффуз менамояд.</p>",,6851,6851,,tj-tg,published
2991,Ҳоло ҳам нисбат ба шахсони бегона ва ҳолатҳои ношинос ҳисси тарс нишон медиҳад,"<p>Ҳангоми муошират бо шахси бегона тарс дорад, шахси шиносро мекобаду ба волидайнаш мечаспад.</p>",,"3601, 3646, 346","3601, 3646, 346",7291,tj-tg,published
2996,Бозӣ кардани бозиҳои нақшавиро дӯст медорад,"<p>Бозиҳои нақшофарӣ мебозад. “Бозии  тақлидкорӣ” пайдо мешавад, кӯдак вонамуд мекунад, ки чой нӯшида истодааст, лухтакашро мехуронад ва ғайра.</p>",,"6576, 2161, 2141, 4786","6576, 2161, 2141, 4786",7856,tj-tg,published
3001,Мустақилона бо қалам ва ё бӯр дар коғаз  мекашад,"<p>Бо қалам дар варақ, бо даст дар қум, бо чӯбча дар лой ё бо об дар бетон расм кашиданро дӯст медорад.</p>",,"3571, 6606","3571, 6606",,tj-tg,published
3006,Тарзи истифодаи ашёи рӯзмараро медонад,"<p>Дониши истифодабарии чунин ашёҳоро, ба монанди қошуқ, дандоншуяк, телефонро нишон медиҳад.</p>",,"3991, 6601","3991, 6601",,tj-tg,published
3011,Як чизро ба дохили чизи  дигар меандозад,<p>Ашёро ба коса ё пиёла меандозад ва аз он мегирад.</p>,,"2116, 1986, 6586","2116, 1986, 6586",,tj-tg,published
3016,Дар муошират имову ишораро барои боз хубтар фаҳмидани якдигар истифода мебарад,"<p>Кӯдак кушиш мекунад, ки имову ишора ва ба суханони шахсони калонсол тақлид кунад. Имову ишораро дар ҷавоб ба хоҳишу дархостҳо, комилан мувофиқ истифода мебарад  (“хайр” ва ё  “не”)</p>",,"6596, 4776","6596, 4776",,tj-tg,published
3021,Ба фаъолияти якҷоя умедвор аст,"<p>Кӯдак ба қиёфа, имову ишора ва баъзе ҳаракатҳои дигари шахсони наздикаш тақлид мекунад, бо чиликонаш ба он чизе, ки ба вай шавқовар аст, ишора мекунад ва ё ашёро ба дигар одамон барои ҷалб намудани таваҷҷуҳи онҳо ба бозӣ пешниҳод мекунад.</p>",,"3646, 6581","3646, 6581",,tj-tg,published
5861,Бештар ба китобҳо таваҷҷуҳ дорад,"<p>Ба китобчаҳои расмдор шавқ  дорад, метавонад мустақилона китобчаеро, ки муқовааш сахт аст, варақ занад.</p>",,6806,6806,,tj-tg,published
6971,Ба бозӣ бо дигар кўдакон ва калонсолон таваҷҷўҳ зоҳир мекунад.,"<p>Дар ҷустуҷӯи касе ҳаст, ки бо ӯ бозӣ кунад, дар бозӣ иштирок карда метавонад ва дар вақти бозӣ аз дигар кўдакон ва калонсолон меомўзад.</p>",,,,,tj-tg,published
6976,Ба дигарон писанд омадан ва ҳамкорӣ карданро дӯст медорад.,<p>Эҳсосоти дигаронро эътироф мекунад; аксар вақт бо дигарон мубодила карданро дўст медорад; метавонад навбатро пайгирӣ намояд.</p>,,,,,tj-tg,published
6981,Ҷумлаҳои аз 4 то 5 калима иборат бударо истифода мебарад.,"<p>Ҷумла месозад, калимаҳоро чунин ҷамъ менамояд, ки онҳо маъно дошта бошанд ва ақидаи кўдакро расонанд.</p>",,,,,tj-tg,published
6986,Маънои рақамҳои 2 ва 3-ро мефаҳмад.,"<p>Бо хоҳиш намудан метавонад ду ва ё се ашёҳоро  интихоб намояд (бозичаҳо, қошуқ ва ғ.). Ё ин ки ба гурўҳи ашёҳо нигариста, метавонад гуяд, ки шумораи онҳо ду ва ё се адад аст.</p>",,,,,tj-tg,published
6991,"Истилоҳоти «монанд» ва ё «ба ў монанд» ва «гуногун»-ро мефаҳмад ва метавонад ашёҳоро бо роҳҳои гуногун гурўҳбандӣ кунад (масалан, аз рўи ранго ва ё ҳаҷми он).","<p>Масалан, кўдак метавонад дар бораи ҳайвонҳое, ки курку ва пар доранд, нақл кунад; кўдак ба китоб нигариста, метавонад ба як чиз, ки он аз дигарҳо фарқият дорад, ишора кунад (масалан, писарчаи ягонае, ки дар даст тўб дорад).</p>",,,,,tj-tg,published
6996,"Фарқиятҳои асосиро байни чизҳои воқеъӣ, ихтироъшуда ва тасаввуротиро медонад","<p>Ҳикояро оид ба персонажи набуда эҷод мекунад, ва ё медонад, ки ҳайвонҳо дар ҳаёти воқеъӣ гап зада наметавонанд.</p>",,,,,tj-tg,published
7001,"Дар бораи воқеаҳое, ки дар зиндагии ў во мехўрад, нақл мекунад.","<p>Метавонад, дар бораи зодрӯзи, ки ҳафтаи гузашта буд, нақл кунад, ва ё дар бораи сафар бо оилаашро тавсиф кунад.</p>",,,,,tj-tg,published
7006,"Суруд мехонад ва ё ҳикояро, ки азхуд кардааст, нақл мекунад.","<p>Дар бораи афсона ва ё суруд, ки дар гузашта шунида буд, фикр мекунад ва кўшиш мекунад, ки калимаҳои онро азёд кунад.</p>",,,,,tj-tg,published
7011,"Баъзе ҳарфҳои луғатро навишта метавонад, ва ё пас аз ба ў нишон додани дигар тасвир, метавонад кўшиш кунад, ки ўро нусхабардорӣ кунад","<p>Ба ҳарфҳо ва ё тасвир нигоҳ карда, кўшиш мекунад, ки онҳоро нусхабардорӣ кунад, расм кашад, новобаста аз он, ки онҳо нодуруст ба назар мерасанд.</p>",,,,,tj-tg,published
7016,Дастон ва ангуштонро моҳирона истифода мебарад.,"<p>Маҳорати хуби истифода бурдани қайчиро дорад; манора месозад (масалан, аз 8 ва ё аз ин зиёдтар блокҳои калон).</p>",,,,,tj-tg,published
7021,Бозиҳои оддиро аз руи қоида бозӣ мекунад.,"<p>Шартҳои оддии бозиро риоя мекунад, навбати худро интизор мешавад.</p>",,,,,tj-tg,published
7026,"Ба осонӣ ва бо маҳорат роҳ мегардад, медавад, ҷаҳида, тўпҳои хурду калонро мепартояд ва мезанад.","<p>Баданро ба таври мохирона идора мекунад (масалан, агар мавҷуд бошад -  ба скутер ё велосипед, роликҳо савор мешавад ва ғ.).</p>",,,,,tj-tg,published
7031,Дар бисёр фаъолиятҳо баданро моҳирона идора мекунад.,"<p>Дар як пой меистад, меҷаҳад, ҳаракат мекунад, мебарояд. Агар имконият бошад, ба велосипед ё скутер савор мешавад, дасту пои худро истифода бурда тӯбро моҳирона идора мекунад.</p>",,,,,tj-tg,published
7036,Бадани инсон ва шаклҳои оддиро дақиқ тасвир мекунад,"<p>Пайкари инсонро бо қисмҳои берунаи он расм мекашад, давра, секунҷа ва дигар шаклҳои геометриро расм кашида метавонад.</p>",,,,,tj-tg,published
7041,Аз панҷ калима ва ё зиёда аз он ҷумла месозад; дар гуфтугу калимаҳоро барои ояндаро нақл кардан истифода мебарад.,"<p>Барои ақидаи худро изҳор намудан, калимаҳоро якҷоя истифода мебарад; метавонад гуяд, ки дар оянда чӣ «мешавад» ва ё «метавонад шавад».</p>",,,,,tj-tg,published
7046,Метавонад ҳикоя ё қисми ҳикояро нақл кунад.,"<p>Мустақилона ғояи асосӣ ва ё қисми дустдоштаи ҳикояро нақл мекунад, ҳамчун калонсол тахмин карда метавонад. </p>",,,,,tj-tg,published
7051,Метавонад ном ва суроғаи худро диҳад,"<p>Агар пурсанд, метавонад маълумоти асосиро дар бораи худ нақл кунад.</p>",,,,,tj-tg,published
7056,Метавонад то даҳ бе хато шуморад ва даҳ адад ашёро шуморад,"<p>Инчунин шумораҳои пай дар пайро то 10  гуфта метавонад «якум, дуюм», рўз, ҳафта ва моҳҳоро шуморида метавонад.</p>",,,,,tj-tg,published
7061,На камтар аз чор рангро дуруст номбар мекунад,"<p>На танҳо рангҳои сурх, зард, кабуд, балки рангҳои ба монанди арғувон ва норинҷиро низ мешиносад.</p>",,,,,tj-tg,published
7066,"Мафҳумҳои мавсим, ба монанди то ва баъд аз онро дарк менамояд.","<p>Он чизеро, ки пеш аз ва баъд аз ҳодиса рӯй дод, шарҳ медиҳад; фаслҳои солро метавонад ба тартиб оварад (масалан, тобистон пас аз баҳор).</p>",,,,,tj-tg,published
7071,Метавонад истифодабарии ашёҳои рўзмарраро фаҳмонда диҳад,"<p>Дар ҳаёти ҳарруза чи тавр телефон ё пулро истифода мебаранд, фаҳмонда медиҳад.</p>",,,,,tj-tg,published
7076,Дар фаъолияти эҷодӣ иштирок намуданро афзалтар мешуморад.,"<p>Дар чугнин фаъолиятҳои эҷодӣ, ба монанди суруд хондан ва рақс кардан, расм кашидан, аз лой ё дигар мавод хамир месозад ва дар дигар фаъолиятҳои эҷодӣ иштирок менамояд.</p>",,,,,tj-tg,published
7081,Малакаҳоро барои иштироки мустақилона дар корҳои рўзмарра ва фаъолияти ҷамъиятӣ истифода мебарад.,"<p>Метавонад мустақилона либосашро пўшад ва кашад, қошуқ ва чангакро истифода мебарад, ҳоҷатхонаро мустақилона истифода мебарад ва дастҳояшро мешӯяд. Метавонад аз волидон ҷудо шуда, дар фаъолиятҳои мустақилона ва иҷтимоӣ ширкат варзад. </p>",,,,,tj-tg,published
7086,"Дар фаъолиятҳои гуногун, ки малакаҳои баланди ҷисмониро талаб мекунанд, маҳоратнок иштирок мекунад.","<p>Ба як по истода метавонад, тўбро дақиқ мезанад, бо тӯб ба ҳадаф мерасад ва ғ.</p>",,,,,tj-tg,published
7091,"Тасвирҳои мураккаб, ҳарфҳо ва расмҳои муфассалро эҷод карда метавонад.","<p>Метавонад ба расм ҷузвҳои ҳақиқиро дохил намояд, расмҳои мураккабро эҷод мекунад, агар имконият бошад, моҳирона ашёҳоро дар расмкашӣ ва рангуборкунӣ истифода мебарад.</p>",,,,,tj-tg,published
7096,Ҷумлаҳои мураккабро талаффуз мекунад.,"<p>Ҷумлаҳо хело мураккаб мешаванд. Масалан, кўдак замони ҳозира, гузашта ва ояндаро дуруст истифода мебарад.</p>",,,,,tj-tg,published
7101,Ҳарфҳои алифборо мешиносад ва баъзе малакаҳои хонданро дорад.,"<p>Аксарияти ҳарфҳои алифборо шинохта метавонад, калима ва ҳиҷоҳои оддии ҳаррузаро ба монанди мағоза, ма-ма, да-даро хонда метавонад.</p>",,,,,tj-tg,published
7106,Ҳикояро пурра бозгў мекунад.,"<p>Кўдак метавонад мустақилона ва дақиқ сюжети қиссаи муайянро нақл кунад, бо тартиби хронологӣ рўйдодҳоро ва ё телешоу ки дар он иштирок намуда буд дуруст ҷойгир намояд.</p>",,,,,tj-tg,published
7111,"Кўдак ному насаб, синну сол ва ҷойи зисти худро медонад.","<p>Кўдак маълумоти оддиро дар бораи худ медонад ва ҳангоми пурсиш, метавонад онро номбар кунад.</p>",,,,,tj-tg,published
7116,"Дарк мекунад, ки дар замонҳои гуногун чи рўй медиҳад ва чи гуна вақт мегузарад.","<p>Гузашти вақтро дарк менамояд, дарк менамояд, ки субҳ, нисфирўзӣ ва ё бегоҳӣ чи рўй медиҳад, метавонад баъзе амалҳоро нақшабандӣ намояд.</p>",,,,,tj-tg,published
7121,"Шартҳои бозиро риоя мекунад, баъзан барои шартҳои нав ғоя дорад.","<p>Кўдак қоидаҳои муқарраршударо мефаҳмад (масалан, қоидаҳои бозӣ), вале баъзан ў мехоҳад чизи навро илова кунад.</p>",,,,,tj-tg,published
7126,Нишонаҳои масъулият қабул карданро нишон медиҳад.,"<p>Масалан, ў ғамхории либоси худро оғоз менамояд.</p>",,,,,tj-tg,published
7131,Фаҳмищи фарқияти байни воқеъият ва тақлид ва ё бардурўғро нишон медиҳад.,"<p>Кўдак танҳо дар тасаввуроти худ ҳикояҳо, воқеъият, қаҳрамонро эҷод менамояд, бадеӣ тасвир намуда, ба онҳо хосиятҳо ва тавсифҳоро, ки воқеъӣ нестанд, таъин мекунад. Инро иҷро намуда, ў лаззат мебарад, ва дарк менамояд, ки дар ҷаҳони тасаввурот ҳама чиз имконпазир аст.</p>",,,,,tj-tg,published
7136,Ғояҳои нав ва талаботи дигар шахсонро мефаҳмад.,"<p>Аз ин рӯ, ӯ бештар ба он чизе, ки дигарон мехоҳанд ё пешниҳод мекунанд, эътибор медиҳад ва мехоҳад бо онҳо мулоқот кунад - ӯ бо дӯстон бештар ҳамкорӣ мекунад ва дар гурӯҳ корро ба анҷом мерасонад.</p>",,,,,tj-tg,published
