ID,Title,Translation_language,Moderation_state
5356,"Ne stidite se grešaka, na njima učite šta je dobar roditelj.",rs-sr,published
5361,"Znate da snaga porodice leži u stabilnosti roditeljskog saveza.",rs-sr,published
5366,"Niko od nas ne može sam ono što može zajedno sa drugima.",rs-sr,published
5371,"Normalno je da ste preokupirani „bebećim“ temama.",rs-sr,published
5376,"Porodica jeste važan prioritet, ali ne zapostavljajte sebe!",rs-sr,published
5381,"Vaš tim je vaša porodica! Zajedno ste nepobedivi!",rs-sr,published
5386,"Budite blagi prema sebi pa cete biti blagi i prema svom detetu",rs-sr,published
5391,"Želite da vaše dete u vama nađe oslonac i razumevanje.",rs-sr,published
5396,"Znate da imate na koga da se oslonite kada je teško.",rs-sr,published
5401,"Svako jutro donosi nove radosti.",rs-sr,published
5406,"Biti roditelj je najvrednije i najlepše životno iskustvo.",rs-sr,published
5411,"Vaša porodica je za vas oaza mira, jer ste u njoj ono što jeste.",rs-sr,published
5416,"Nije važno da budemo najbolji, već da svakog dana budemo sve bolji.",rs-sr,published
5421,"Neuspesi su samo dobra lekcija o prihvatanju poraza.",rs-sr,published
5426,"Svaki uspeh je dobra lekcija o samopouzdanju.",rs-sr,published
5431,"Uspesi naše dece su čista radost i uživanje.",rs-sr,published
5436,"Radujte se i uspesima i neuspesima, tako učite i rastete.",rs-sr,published
5441,"Treba vam odmor? Dok beba spava, spavajte i vi!",rs-sr,published
5446,"Poslušajte svoj instinkt-držite u naručju bebu koliko želite!",rs-sr,published
5451,"Potražite bez ustezanja savet o dojenju.",rs-sr,published
5456,"Dojenje povezuje mamu I bebu.",rs-sr,published
5461,"Zajednički obroci su važni za porodicu.",rs-sr,published
5466,"Pronadjite vreme za druženje.",rs-sr,published
5471,"Svakog jutra malo vremena posvetite samo sebi.",rs-sr,published
5476,"Opustite se, mala deca i uredna kuća ne idu zajedno.",rs-sr,published
5481,"Rrelaksacija dubokim disanjem pomaže da smanjite napetost i uznemirenost.",rs-sr,published
5486,"Deset minuta opuštanja uz muziku obnoviće vašu energiju.",rs-sr,published
5491,"Negujte svoje telo, ono je važan faktor samopouzdanja!",rs-sr,published
5496,"Dogovarajte se, porodične odgovornosti su zajedničke.",rs-sr,published
5501,"Ako ste prvi put roditelj normalno je da mnogo toga ne znate.",rs-sr,published
5506,"Verujte u sebe i u odluke koje donosite!",rs-sr,published
5511,"Uživajte u svom roditeljstvu i radujte mu se svaki dan!",rs-sr,published
5516,"Ne žurite, ostanite smireni, opušteni i uživajte u svakom trenutku.",rs-sr,published
5521,"Promene kroz koje prolazite pomažu da učite o sebi.",rs-sr,published
5526,"Verujte u sebe i svoje snage!",rs-sr,published
5611,"Pohvalama i priznanjima dete razvija samopouzdanje, sigurnost u sebe i svesti o sebi.",rs-sr,published
5616,"Setite se, svojim ponašanjem dajete primer iz koga vaše dete uči.",rs-sr,published
5621,"Ispoštujte svoja obećanja, jer tako vaše dete uči da vam veruje i da vas poštuje.",rs-sr,published
5626,"Dete stiče samopouzdanje kada zna ko ga voli i kome pripada.",rs-sr,published
5631,"Planirajte vreme za igru sa svojim detetom i uživajte zajedno u igri.",rs-sr,published
5636,"Slavite sve uspehe i rezultate svog deteta.",rs-sr,published
5641,"Slušajte uvek sa velikom pažnjom šta vam govori vaše dete ili vaš partner/partnerka.",rs-sr,published
5646,"Trudite se da rečima i emocijama pokažete svoje uvažavanje, vrednovanje i naklonost.",rs-sr,published
5651,"Normalno je da se ponekad osećate napeto i važno je da to komunicirate sa bliskim osobama.",rs-sr,published
5656,"Prepoznajte prve znake svoje ljutnje kako biste na vreme kontrolisali svoje reakcije.",rs-sr,published
5661,"Partnerske probleme u prisustvu deteta rešavajte konstruktivno i pozitivno da zaštitite dete od stresa.",rs-sr,published
5666,"Kada roditelji funkcionišu kao tim, dete se oseća sigurno i dobro.",rs-sr,published
5671,"Kad možete prepustite se mašti svog deteta, to će inspirisati važe nove zajedničke igre.",rs-sr,published
