ID,Title,Translation_language,Moderation_state
5256,"Greške i neuspesi su uvek dobre lekcije.",me-cnr,draft
5261,"Vaša snaga je u vama, a podrška spolja je uvek dobrodošla.",me-cnr,draft
5266,"Koristite svaku priliku za igru sa svojom bebom!",me-cnr,draft
5271,"Naša porodica je naše sigurno mesto!",me-cnr,draft
5276,"Uspeh se ostvaruje kroz realne i ostvarive ciljeve.",me-cnr,draft
5281,"Normalno je nekada potražiti podršku stručnjaka!",me-cnr,draft
5286,"Da vas podsetimo: u svakom od nas još uvek živi naše dete!",me-cnr,draft
5291,"Oživite sećanja iz detinjstva i uživajte u maštarijama!",me-cnr,draft
5296,"Samo snažan roditelj je dobra podrška za dete!",me-cnr,draft
5301,"Ne propuštajte svakodnevne prilike za razmenu sa bebom!",me-cnr,draft
5306,"Vaša snaga je u prilagodljivosti!",me-cnr,draft
5311,"Učenje na greškama je jednako vredno!",me-cnr,draft
5316,"Svaki dan je dobar za igru sa detetom!",me-cnr,draft
5321,"Divno je imati podršku porodice u roditeljstvu.",me-cnr,draft
5326,"Roditeljski savez gradi se komunikacijom, timskim radom i uvažavanjem!",me-cnr,draft
5331,"Svakog dana dajte sve od sebe da budete podržavajući roditelj!",me-cnr,draft
5336,"Svakog dana dajte sve od sebe da budete podržavajući partner/partnerka.",me-cnr,draft
5341,"Jake porodice nastaju iz ljubavi i poverenja, ponekog pravila i rutine.",me-cnr,draft
5346,"Vreme koje provodite zajedno je najdragoceniji dar za sve!",me-cnr,draft
5351,"Vaša snaga je u tome što slušate sebe i druge bez suđenja!",me-cnr,draft
5356,"Ne stidite se grešaka, na njima učite šta je dobar roditelj.",me-cnr,draft
5361,"Znate da snaga porodice leži u stabilnosti roditeljskog saveza.",me-cnr,draft
5366,"Niko od nas ne može sam ono što može zajedno sa drugima.",me-cnr,draft
5371,"Normalno je da ste preokupirani „bebećim“ temama.",me-cnr,draft
5376,"Porodica jeste važan prioritet, ali ne zapostavljajte sebe!",me-cnr,draft
5381,"Vaš tim je vaša porodica! Zajedno ste nepobedivi!",me-cnr,draft
5386,"Budite blagi prema sebi pa cete biti blagi i prema svom detetu",me-cnr,draft
5391,"Želite da vaše dete u vama nađe oslonac i razumevanje.",me-cnr,draft
5396,"Znate da imate na koga da se oslonite kada je teško.",me-cnr,draft
5401,"Svako jutro donosi nove radosti.",me-cnr,draft
5406,"Biti roditelj je najvrednije i najlepše životno iskustvo.",me-cnr,draft
5411,"Vaša porodica je za vas oaza mira, jer ste u njoj ono što jeste.",me-cnr,draft
5416,"Nije važno da budemo najbolji, već da svakog dana budemo sve bolji.",me-cnr,draft
5421,"Neuspesi su samo dobra lekcija o prihvatanju poraza.",me-cnr,draft
5426,"Svaki uspeh je dobra lekcija o samopouzdanju.",me-cnr,draft
5431,"Uspesi naše dece su čista radost i uživanje.",me-cnr,draft
5436,"Radujte se i uspesima i neuspesima, tako učite i rastete.",me-cnr,draft
5441,"Treba vam odmor? Dok beba spava, spavajte i vi!",me-cnr,draft
5446,"Poslušajte svoj instinkt-držite u naručju bebu koliko želite!",me-cnr,draft
5451,"Potražite bez ustezanja savet o dojenju.",me-cnr,draft
5456,"Dojenje povezuje mamu I bebu.",me-cnr,draft
5461,"Zajednički obroci su važni za porodicu.",me-cnr,draft
5466,"Pronadjite vreme za druženje.",me-cnr,draft
5471,"Svakog jutra malo vremena posvetite samo sebi.",me-cnr,draft
5476,"Opustite se, mala deca i uredna kuća ne idu zajedno.",me-cnr,draft
5481,"Rrelaksacija dubokim disanjem pomaže da smanjite napetost i uznemirenost.",me-cnr,draft
5486,"Deset minuta opuštanja uz muziku obnoviće vašu energiju.",me-cnr,draft
5491,"Negujte svoje telo, ono je važan faktor samopouzdanja!",me-cnr,draft
5496,"Dogovarajte se, porodične odgovornosti su zajedničke.",me-cnr,draft
5501,"Ako ste prvi put roditelj normalno je da mnogo toga ne znate.",me-cnr,draft
5506,"Verujte u sebe i u odluke koje donosite!",me-cnr,draft
5511,"Uživajte u svom roditeljstvu i radujte mu se svaki dan!",me-cnr,draft
5516,"Ne žurite, ostanite smireni, opušteni i uživajte u svakom trenutku.",me-cnr,draft
5521,"Promene kroz koje prolazite pomažu da učite o sebi.",me-cnr,draft
5526,"Verujte u sebe i svoje snage!",me-cnr,draft
5611,"Pohvalama i priznanjima dete razvija samopouzdanje, sigurnost u sebe i svesti o sebi.",me-cnr,draft
5616,"Setite se, svojim ponašanjem dajete primer iz koga vaše dete uči.",me-cnr,draft
5621,"Ispoštujte svoja obećanja, jer tako vaše dete uči da vam veruje i da vas poštuje.",me-cnr,draft
5626,"Dete stiče samopouzdanje kada zna ko ga voli i kome pripada.",me-cnr,draft
5631,"Planirajte vreme za igru sa svojim detetom i uživajte zajedno u igri.",me-cnr,draft
5636,"Slavite sve uspehe i rezultate svog deteta.",me-cnr,draft
5641,"Slušajte uvek sa velikom pažnjom šta vam govori vaše dete ili vaš partner/partnerka.",me-cnr,draft
5646,"Trudite se da rečima i emocijama pokažete svoje uvažavanje, vrednovanje i naklonost.",me-cnr,draft
5651,"Normalno je da se ponekad osećate napeto i važno je da to komunicirate sa bliskim osobama.",me-cnr,draft
5656,"Prepoznajte prve znake svoje ljutnje kako biste na vreme kontrolisali svoje reakcije.",me-cnr,draft
5661,"Partnerske probleme u prisustvu deteta rešavajte konstruktivno i pozitivno da zaštitite dete od stresa.",me-cnr,draft
5666,"Kada roditelji funkcionišu kao tim, dete se oseća sigurno i dobro.",me-cnr,draft
5671,"Kad možete prepustite se mašti svog deteta, to će inspirisati važe nove zajedničke igre.",me-cnr,draft
